0|890003|890001001
1|890003|890001002
0|890011|890001007
0|900003|890001007
1|900003|890001008
0|890200|900001001
1|890200|900001002
2|890200|900001005
0|890203|900001007
0|900203|890001004
0|891200|900001000
0|891203|900001001
1|891203|900001002
0|901203|900001009
0|891400|890001004
0|891403|890001006
0|901403|900001003
0|890800|900001008
0|890803|890001000
0|900802|890001007
0|891000|900001002
0|891003|900001004
0|901002|890001001
0|890402|890001006
0|900402|890001003
0|890600|900001000
0|890603|900001002
0|900602|900001008
